Date,Time(h),Surface Temperature(C),Surface flux(W/sq.m)
6/25/2004, 0,  29.00,   1.84
6/25/2004, 1,  28.84,   8.87
6/25/2004, 2,  28.11,  -0.20
6/25/2004, 3,  27.10,  -4.53
6/25/2004, 4,  26.32,  -5.01
6/25/2004, 5,  26.09,  -2.93
6/25/2004, 6,  26.84,   3.52
6/25/2004, 7,  28.36,  12.66
6/25/2004, 8,  29.95,  18.47
6/25/2004, 9,  31.43,  20.54
6/25/2004,10,  32.92,  20.24
6/25/2004,11,  34.35,  24.40
6/25/2004,12,  35.59,  28.15
6/25/2004,13,  36.51,  32.68
6/25/2004,14,  37.16,  38.04
6/25/2004,15,  37.33,  39.58
6/25/2004,16,  37.04,  41.00
6/25/2004,17,  36.40,  40.97
6/25/2004,18,  35.36,  37.46
6/25/2004,19,  34.22,  33.54
6/25/2004,20,  33.23,  29.18
6/25/2004,21,  32.37,  25.70
6/25/2004,22,  31.49,  18.41
6/25/2004,23,  30.39,   8.60
6/26/2004, 0,  29.35,   4.03
6/26/2004, 1,  28.40,   0.35
6/26/2004, 2,  27.40,  -4.50
6/26/2004, 3,  26.39,  -7.24
6/26/2004, 4,  25.71,  -5.95
6/26/2004, 5,  25.67,  -1.29
6/26/2004, 6,  26.58,   4.34
6/26/2004, 7,  28.20,  11.97
6/26/2004, 8,  29.93,  16.90
6/26/2004, 9,  31.43,  17.60
6/26/2004,10,  32.84,  20.87
6/26/2004,11,  33.94,  21.31
6/26/2004,12,  34.87,  24.65
6/26/2004,13,  36.09,  30.28
6/26/2004,14,  36.85,  37.72
6/26/2004,15,  37.15,  43.42
6/26/2004,16,  36.92,  45.31
6/26/2004,17,  36.32,  46.17
6/26/2004,18,  35.33,  41.72
6/26/2004,19,  34.04,  30.30
6/26/2004,20,  32.66,  15.01
6/26/2004,21,  31.20,   1.84
6/26/2004,22,  29.76,  -3.73
6/26/2004,23,  28.78,  -1.26
