Date,Time (h),Outdoor Air Drybulb Temperature [C](Hourly),Outdoor Air Relative Humidity [%](Hourly),Site Wind Speed [m/s](Hourly),Incident Solar Radiation Rate per Area [W/m2](Hourly),Outdoor Dewpoint Temperature [C](Hourly)
6/25/2004,0,27.2,40.2,0.2,0,12.5
6/25/2004,1,30.9,22.5,1.5,0,7
6/25/2004,2,30.1,23.7,0.8,0,7.1
6/25/2004,3,25.6,39.8,0.2,0,10.8
6/25/2004,4,24.4,38.8,0.2,0,9.4
6/25/2004,5,23.7,45.6,0.2,8.333333333,11.3
6/25/2004,6,25.8,43.8,0.4,138.8888889,12.5
6/25/2004,7,29.8,33.1,0.9,327.7777778,11.7
6/25/2004,8,32.6,22.4,1,530.5555556,8.3
6/25/2004,9,33.4,17.6,1.7,705.5555556,5.6
6/25/2004,10,35.6,15.6,1.3,838.8888889,5.5
6/25/2004,11,37.1,15.2,1.3,927.7777778,6.4
6/25/2004,12,38.1,15.5,2.1,955.5555556,7.4
6/25/2004,13,39.1,14.2,2.2,936.1111111,6.9
6/25/2004,14,40,12.9,2.8,858.3333333,6.3
6/25/2004,15,40.6,11.7,2.9,733.3333333,5.3
6/25/2004,16,40.7,10.8,2.7,561.1111111,4.2
6/25/2004,17,40.5,10.6,2.7,366.6666667,3.8
6/25/2004,18,39.8,10.3,2.4,166.6666667,2.9
6/25/2004,19,38.3,11.1,2.3,16.66666667,2.8
6/25/2004,20,36.4,12.5,2.7,0,3
6/25/2004,21,35.2,12.5,2.6,0,2.1
6/25/2004,22,34.5,12.6,2.2,0,1.6
6/25/2004,23,33.2,12.3,1.3,0,0.4
6/26/2004,0,30.9,16.5,0.9,0,2.5
6/26/2004,1,29.9,16,0.7,0,1.2
6/26/2004,2,27,26.6,0.3,0,5.9
6/26/2004,3,24,35.3,0.3,0,7.7
6/26/2004,4,23.1,38.7,0.3,0,8.3
6/26/2004,5,23.5,40.2,0.3,11.11111111,9.2
6/26/2004,6,26.7,32.6,0.3,138.8888889,8.9
6/26/2004,7,30.8,26.1,0.4,350,9
6/26/2004,8,34.6,14.9,0.6,558.3333333,4.1
6/26/2004,9,35.7,12.8,0.7,727.7777778,2.8
6/26/2004,10,37.4,10.2,0.7,861.1111111,1
6/26/2004,11,38.6,9.9,1,894.4444444,1.4
6/26/2004,12,39.3,10,0.8,830.5555556,2.1
6/26/2004,13,40.2,10.8,1.4,944.4444444,3.8
6/26/2004,14,41.3,10.3,1.5,869.4444444,4
6/26/2004,15,41.3,9.4,2.4,738.8888889,2.7
6/26/2004,16,41.1,8.8,2.6,577.7777778,1.7
6/26/2004,17,40.9,8,2.6,386.1111111,0.1
6/26/2004,18,40.2,8.2,2.5,188.8888889,0
6/26/2004,19,38.7,9.2,2.2,25,0.4
6/26/2004,20,36.6,11.4,1.6,0,1.9
6/26/2004,21,34.3,15.2,0.7,0,3.9
6/26/2004,22,29.2,30.2,0.2,0,9.7
6/26/2004,23,26.9,33.8,0.3,0,9.6
