Outdoor Air Drybulb Temperature [C](Hourly),Outdoor Air Relative Humidity [%](Hourly),Site Wind Speed [m/s](Hourly),Incident Solar Radiation Rate per Area [W/m2](Hourly),Outdoor Dewpoint Temperature [C](Hourly)
26.8,20.9,0.6,0,2.6
26.6,18.3,1.1,0,0.5
24.8,24.3,0.5,0,3
22.5,31.9,0.5,0,4.9
25.1,19.1,0.8,0,-0.1
21.9,31.4,0.3,11.11111111,4.1
24.7,32.6,0.2,161.1111111,7.2
28.1,28.5,0.4,361.1111111,8.1
31.9,15,0.4,561.1111111,2
33.2,12.2,0.8,733.3333333,0.2
34.8,10.7,0.8,861.1111111,-0.3
35.1,10.6,1.7,936.1111111,-0.2
35.8,10.4,1.7,963.8888889,0
36.9,10.6,1.7,944.4444444,1
37.5,9.8,2,863.8888889,0.6
38.2,9.9,1.9,738.8888889,1.1
38.3,9.9,1.8,563.8888889,1.3
38.3,9.8,1.6,369.4444444,1
37.6,10.4,1.2,166.6666667,1.4
35.6,11.2,0.7,19.44444444,0.9
32.9,16.4,1.3,0,3.9
33,12.6,2.4,0,0.4
32,12.8,1.7,0,-0.1
31.2,12.9,2.1,0,-0.5
29,17.4,0.8,0,1.6
24.7,36.7,0.3,0,8.7
23.5,38.6,0.4,0,8.5
23.7,36,0.3,0,7.7
21.9,42,0.2,0,8.4
21.8,42.6,0.2,11.11111111,8.5
24.6,45.2,0.2,150,11.9
29.6,35.9,0.4,344.4444444,12.8
32,26,0.6,513.8888889,10.1
33.4,22.5,0.9,700,9.1
34.2,21,0.9,827.7777778,8.8
34.7,21,1.4,913.8888889,9.2
35.4,18.6,1.3,752.7777778,7.9
36.5,17,1.5,886.1111111,7.5
37,15.8,2.1,855.5555556,6.8
37.6,15.4,2,719.4444444,6.9
37.8,16.4,1.8,544.4444444,8.1
37.9,15.4,1.6,352.7777778,7.2
37.7,14.7,0.9,161.1111111,6.4
34.6,19.8,0.4,22.22222222,8.1
32.8,22.9,3.9,0,8.8
31.3,26.5,2.7,0,9.8
29.3,31.1,0.7,0,10.4
28.8,32.7,0.5,0,10.7
28.3,33.7,0.8,0,10.8
27.7,35.2,0.9,0,10.9
24.8,48.7,0.2,0,13.2
24.1,49.7,0.2,0,12.9
24.1,48.3,0.2,0,12.4
24.5,47.1,0.2,8.333333333,12.5
25.7,51.2,0.2,91.66666667,14.9
30,39.7,0.3,325,14.5
33,26,0.8,472.2222222,10.9
